server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;14.0;0;11;11.0;12.0
2;2;2.0;12.0;1;19;10.0;10.0
3;2;2.0;28.0;2;1;27.0;26.0
4;2;2.0;12.0;3;17;10.0;10.0
5;6;6.0;32.0;8;24;27.0;26.0
7;6;6.0;27.0;9;20;21.0;21.0
8;6;6.0;21.0;7;14;14.0;15.0
9;6;6.0;35.0;4;19;29.0;29.0
10;6;6.0;24.0;5;24;18.0;18.0
11;6;6.0;30.0;6;3;22.0;24.0
18;8;8.0;32.0;10;21;25.0;24.0
19;8;8.0;27.0;11;16;22.0;19.0
13;9;9.0;24.0;16;26;14.0;15.0
15;9;9.0;41.0;15;12;29.0;32.0
17;10;10.524761155076659;11.524761155076659;19;1;3.0;1.0
17;10;11.524761155076659;33.52476115507666;18;0;24.0;22.0
2;10;12.0;23.0;17;10;11.0;11.0
4;9;12.0;18.0;14;12;7.0;6.0
6;13;13.76861988968991;20.76861988968991;20;1;7.0;6.999999999999998
16;9;13.930617779462054;19.930617779462054;12;20;5.0;6.0
0;9;14.0;16.0;13;8;1.0;2.0
1;15;15.0;18.0;22;22;3.0;3.0
14;15;15.345715519426005;23.345715519426005;21;11;8.0;8.0
0;16;16.0;35.0;23;3;20.0;19.0
12;16;16.580387345550673;35.580387345550676;24;0;20.0;19.000000000000004
1;17;18.0;37.0;25;25;20.0;19.0
16;21;21.0;32.0;26;28;11.0;11.0
6;21;21.0;47.0;27;7;27.0;26.0
8;21;21.0;48.0;28;8;27.0;27.0
4;22;22.0;29.0;29;21;7.0;7.0
2;23;23.0;41.0;34;10;11.0;18.0
14;23;23.345715519426005;27.345715519426005;33;21;6.0;4.0
13;23;24.0;40.0;37;5;15.0;16.0
10;23;24.0;38.0;36;1;12.0;14.0
19;26;27.0;43.0;39;13;15.0;16.0
7;26;27.0;39.0;40;19;12.0;12.0
14;26;27.345715519426005;52.34571551942601;41;2;23.0;25.000000000000004
3;28;28.0;48.0;44;26;23.0;20.0
4;28;29.0;47.0;42;20;17.0;18.0
11;28;30.0;48.0;45;15;17.0;18.0
16;31;32.0;44.0;46;9;11.0;12.0
18;31;32.0;58.0;47;21;25.0;26.0
5;32;32.0;54.0;48;19;19.0;22.0
17;33;33.52476115507666;53.52476115507666;50;28;19.0;20.0
9;33;35.0;39.0;49;27;3.0;4.0
0;33;35.0;51.0;51;3;20.0;16.0
12;35;35.580387345550676;52.580387345550676;52;27;17.0;17.0
1;37;37.0;45.0;57;9;9.0;8.0
10;36;38.0;58.0;54;19;21.0;20.0
9;36;39.0;66.0;55;23;28.0;27.0
7;36;39.0;51.0;56;10;16.0;12.0
13;40;40.0;46.0;59;29;7.0;6.0
15;26;41.0;48.0;38;20;8.0;7.0
2;40;41.0;50.0;61;24;9.0;9.0
19;42;43.0;55.0;63;19;11.0;12.0
16;41;44.0;64.0;62;29;22.0;20.0
1;45;45.0;76.0;64;12;29.0;31.0
13;45;46.0;47.0;65;20;3.0;1.0
6;47;47.0;57.0;69;4;10.0;10.0
13;47;47.0;50.0;66;17;3.0;3.0
4;47;47.0;63.0;67;11;16.0;16.0
15;48;48.0;71.0;79;19;22.0;23.0
8;48;48.0;56.0;73;7;8.0;8.0
3;48;48.0;52.0;74;13;5.0;4.0
13;49;50.0;79.0;82;9;29.0;29.0
2;48;50.0;75.0;76;2;26.0;25.0
7;51;51.0;72.0;92;12;20.0;21.0
3;51;52.0;74.0;94;21;21.0;22.0
14;52;52.34571551942601;55.34571551942601;95;18;1.0;3.0
12;52;52.580387345550676;78.58038734555068;97;7;25.0;26.0
17;52;53.52476115507666;74.52476115507666;98;10;23.0;21.0
5;52;54.0;75.0;99;29;16.0;21.0
19;51;55.0;82.0;91;25;23.0;27.0
14;51;55.34571551942601;82.34571551942601;93;13;26.0;27.0
8;54;56.0;61.0;100;5;6.0;5.0
6;56;57.0;67.0;101;0;10.0;10.0
18;58;58.0;88.0;105;14;26.0;30.0
10;58;58.0;77.0;104;8;19.0;19.0
11;50;59.52423088208066;68.52423088208066;88;6;6.0;9.0
8;61;61.0;78.0;107;0;17.0;17.0
0;50;61.112262607574564;77.11226260757456;89;22;17.0;16.0
4;49;63.0;81.0;86;0;20.0;18.0
16;62;64.0;66.0;109;27;2.0;2.0
16;63;66.0;76.0;116;17;10.0;10.0
9;64;66.0;68.0;117;9;2.0;2.0
6;67;67.0;75.0;126;20;6.0;8.0
9;64;68.0;69.0;118;9;2.0;1.0
11;68;68.52423088208066;93.52423088208066;128;16;23.0;25.0
9;64;69.0;96.0;119;19;29.0;27.0
7;70;72.0;96.0;140;18;24.0;24.0
3;70;74.0;95.0;139;21;21.0;21.0
17;70;74.52476115507666;75.52476115507666;138;21;1.0;1.0
6;74;75.0;80.0;155;11;5.0;5.0
5;72;75.0;78.0;152;2;2.0;3.0
2;63;75.0;85.0;113;20;10.0;10.0
17;69;75.52476115507666;103.52476115507666;132;15;28.0;28.0
16;69;76.0;100.0;133;26;27.0;24.0
1;69;76.0;80.0;134;4;4.0;4.0
10;70;77.0;98.0;141;12;21.0;21.0
0;70;77.11226260757456;91.11226260757456;142;5;14.0;14.0
8;72;78.0;99.0;145;24;23.0;21.0
5;70;78.0;100.0;143;4;22.0;22.0
12;64;78.58038734555068;88.58038734555068;121;18;12.0;10.0
13;79;79.0;93.0;156;21;13.0;14.0
1;80;80.0;89.0;158;2;10.0;9.0
6;72;80.0;85.0;149;6;4.0;5.0
4;72;81.0;97.0;150;7;16.0;16.0
19;72;82.0;95.0;151;11;12.0;13.0
14;72;82.34571551942601;98.34571551942601;153;22;17.0;16.0
6;81;85.0;111.0;160;9;29.0;26.0
2;81;85.0;109.0;162;26;25.0;24.0
18;87;88.0;116.0;180;19;28.0;28.0
12;86;88.58038734555068;107.58038734555068;177;0;20.0;19.0
1;89;89.0;94.0;185;22;3.0;5.0
0;90;91.11226260757456;97.11226260757456;186;27;7.0;6.0
13;83;93.0;121.0;165;8;28.0;28.0
11;87;93.52423088208066;101.52423088208066;181;2;9.0;8.0
1;85;94.0;103.0;169;2;10.0;9.0
19;85;95.0;101.0;170;12;7.0;6.0
3;85;95.0;117.0;171;7;23.0;22.0
9;86;96.0;123.0;178;1;28.0;27.0
7;85;96.0;101.0;172;13;6.0;5.0
4;97;97.0;104.0;189;12;7.0;7.0
0;85;97.11226260757456;98.11226260757456;174;14;1.0;1.0
10;86;98.0;102.0;176;29;5.0;4.0
0;86;98.11226260757456;100.11226260757456;179;9;5.0;2.0
14;87;98.34571551942601;122.34571551942601;182;2;23.0;24.0
8;89;99.0;112.0;183;20;14.0;13.0
16;100;100.0;108.0;196;23;12.0;8.0
5;100;100.0;127.0;194;17;25.0;27.0
0;89;100.11226260757456;118.11226260757456;184;26;18.0;18.0
19;101;101.0;117.0;204;18;17.0;16.0
7;101;101.0;113.0;214;19;12.0;12.0
11;101;101.52423088208066;108.52423088208066;215;18;8.0;7.0
10;101;102.0;127.0;216;10;25.0;25.0
1;102;103.0;108.0;219;10;4.0;5.0
17;101;103.52476115507666;116.52476115507666;211;19;14.0;13.0
4;100;104.0;118.0;193;26;13.0;14.0
12;100;107.58038734555068;113.58038734555068;197;10;4.0;6.0
16;100;108.0;122.0;199;9;11.0;14.0
1;107;108.0;111.0;230;8;3.0;3.0
11;97;108.52423088208066;132.52423088208064;188;3;22.0;23.999999999999986
2;106;109.0;117.0;223;21;9.0;8.0
1;108;111.0;119.0;238;7;10.0;8.0
6;108;111.0;127.0;239;23;16.0;16.0
8;101;112.0;131.0;213;0;17.0;19.0
7;108;113.0;139.0;237;1;24.0;26.0
12;109;113.58038734555068;115.58038734555068;241;5;2.0;2.0
12;112;115.58038734555068;125.58038734555068;245;24;12.0;10.0
18;115;116.0;141.0;250;14;26.0;25.0
17;115;116.52476115507666;139.52476115507665;249;10;23.0;22.999999999999986
19;117;117.0;128.0;260;22;13.0;11.0
2;115;117.0;147.0;252;17;29.0;30.0
3;115;117.0;134.0;253;14;18.0;17.0
4;115;118.0;123.0;254;12;7.0;5.0
0;116;118.11226260757456;129.11226260757456;255;29;12.0;11.0
1;118;119.0;133.0;265;3;13.0;14.0
13;117;121.0;137.0;258;6;19.0;16.0
16;106;122.0;132.0;222;6;11.0;10.0
14;106;122.34571551942601;140.345715519426;228;26;18.0;17.999999999999986
9;119;123.0;144.0;270;28;20.0;21.0
4;119;123.0;129.0;266;10;6.0;6.0
12;119;125.58038734555068;144.58038734555066;268;20;18.0;18.999999999999986
6;119;127.0;140.0;269;3;12.0;13.0
10;108;127.0;156.0;235;9;27.0;29.0
19;126;128.0;143.0;272;13;15.0;15.0
4;129;129.0;142.0;279;26;13.0;13.0
0;126;129.11226260757456;147.11226260757456;273;22;17.0;18.0
8;123;131.0;134.0;271;28;2.0;3.0
16;130;132.0;138.0;280;0;5.0;6.0
11;129;132.52423088208064;159.52423088208064;278;26;26.0;27.0
1;132;133.0;146.0;282;14;17.0;13.0
8;134;134.0;140.0;283;22;5.0;6.0
3;134;134.0;155.0;285;28;22.0;21.0
13;137;137.0;151.0;287;0;14.0;14.0
16;137;138.0;161.0;288;29;22.0;23.0
17;138;139.52476115507665;152.52476115507665;290;4;11.0;13.0
15;138;139.55775295991396;169.55775295991396;291;12;29.0;30.0
6;107;140.0;166.0;234;22;29.0;26.0
8;108;140.0;159.0;236;2;20.0;19.0
14;111;140.345715519426;169.345715519426;242;10;29.0;29.0
18;117;141.0;159.0;262;10;18.0;18.0
4;116;142.0;165.0;256;3;22.0;23.0
19;117;143.0;170.0;257;24;26.0;27.0
9;106;144.0;172.0;227;23;28.0;28.0
12;117;144.58038734555066;173.58038734555066;261;14;28.0;29.0
1;145;146.0;174.0;294;16;27.0;28.0
2;146;147.0;166.0;297;18;17.0;19.0
0;118;147.11226260757456;149.11226260757456;264;14;1.0;2.0
0;126;149.11226260757456;158.11226260757456;275;9;5.0;9.0
13;151;151.0;154.0;304;17;3.0;3.0
17;151;152.52476115507665;154.52476115507665;301;18;2.0;2.0
13;153;154.0;171.0;307;10;16.0;17.0
17;154;154.52476115507665;178.52476115507665;311;8;24.0;24.0
3;154;155.0;156.0;314;5;1.0;1.0
10;146;156.0;164.0;296;13;11.0;8.0
3;146;156.0;179.0;298;7;23.0;23.0
0;153;158.11226260757456;177.11226260757456;306;19;16.0;19.0
18;151;159.0;168.0;300;18;13.0;9.0
8;151;159.0;167.0;302;7;8.0;8.0
11;151;159.52423088208064;179.52423088208064;303;3;22.0;20.0
16;160;161.0;190.0;324;25;29.0;29.0
10;151;164.0;175.0;305;0;11.0;11.0
4;153;165.0;186.0;310;6;19.0;21.0
6;154;166.0;170.0;312;11;5.0;4.0
2;154;166.0;177.0;313;29;11.0;11.0
8;154;167.0;173.0;315;22;5.0;6.0
18;154;168.0;186.0;316;3;17.0;18.0
14;154;169.345715519426;179.345715519426;317;20;11.0;10.0
15;156;169.55775295991396;171.55775295991396;318;17;3.0;2.0
6;157;170.0;188.0;320;17;18.0;18.0
19;157;170.0;192.0;321;6;23.0;22.0
13;158;171.0;187.0;322;23;16.0;16.0
15;164;171.55775295991396;198.55775295991396;327;9;27.0;27.0
9;172;172.0;195.0;337;2;22.0;23.0
8;165;173.0;202.0;328;6;29.0;29.0
12;166;173.58038734555066;179.58038734555066;330;11;5.0;6.0
1;168;174.0;175.0;332;15;2.0;1.0
1;172;175.0;176.0;338;28;2.0;1.0
10;172;175.0;193.0;339;8;19.0;18.0
1;172;176.0;179.0;340;21;2.0;3.0
7;173;176.39182879306145;183.39182879306145;342;4;6.0;7.0
2;177;177.0;205.0;344;17;29.0;28.0
0;177;177.11226260757456;185.11226260757456;345;6;7.0;8.0
17;177;178.52476115507665;179.52476115507665;347;3;1.0;1.0
1;177;179.0;193.0;348;3;13.0;14.0
3;177;179.0;194.0;349;25;19.0;15.0
14;177;179.345715519426;190.345715519426;351;29;12.0;11.0
11;177;179.52423088208064;195.52423088208064;352;5;15.0;16.0
17;177;179.52476115507665;200.52476115507665;353;10;23.0;21.0
12;178;179.58038734555066;193.58038734555066;354;18;12.0;14.0
7;180;183.39182879306145;197.39182879306145;356;16;16.0;14.0
5;181;184.57754796008874;189.57754796008874;357;27;5.0;5.0
0;181;185.11226260757456;206.11226260757456;358;13;21.0;21.0
18;182;186.0;206.0;360;10;18.0;20.0
4;182;186.0;205.0;361;22;19.0;19.0
13;182;187.0;203.0;362;21;13.0;16.0
6;182;188.0;199.0;363;16;11.0;11.0
5;177;189.57754796008874;210.57754796008874;346;11;18.0;21.0
16;177;190.0;193.0;350;14;1.0;3.0
14;180;190.345715519426;191.345715519426;355;18;1.0;1.0
14;181;191.345715519426;216.345715519426;359;14;26.0;25.0
19;187;192.0;201.0;365;23;10.0;9.0
16;193;193.0;201.0;373;17;10.0;8.0
1;193;193.0;208.0;367;1;15.0;15.0
10;193;193.0;205.0;368;11;14.0;12.0
12;193;193.58038734555066;205.58038734555066;370;25;10.0;12.0
3;193;194.0;195.0;371;5;1.0;1.0
9;195;195.0;222.0;376;29;25.0;27.0
3;193;195.0;214.0;372;19;18.0;19.0
11;195;195.52423088208064;197.52423088208064;374;10;2.0;2.0
7;195;197.39182879306145;229.39182879306145;375;7;29.0;32.0
11;193;197.52423088208064;221.52423088208064;369;26;26.0;24.0
15;198;198.55775295991396;223.55775295991396;377;11;25.0;25.0
6;192;199.0;213.0;366;23;16.0;14.0
17;153;200.52476115507665;215.52476115507665;308;13;16.0;15.0
16;170;201.0;202.0;336;8;3.0;1.0
19;173;201.0;203.0;343;0;2.0;2.0
16;202;202.0;212.0;379;28;11.0;10.0
8;114;202.0;207.0;247;22;5.0;5.0
13;115;203.0;217.0;251;0;14.0;14.0
19;126;203.0;229.0;276;4;25.0;26.0
10;145;205.0;217.0;293;15;12.0;12.0
4;202;205.0;234.0;378;19;23.0;29.0
2;156;205.0;208.0;319;23;4.0;3.0
12;203;205.58038734555066;223.58038734555066;380;6;20.0;18.0
18;205;206.0;216.0;381;9;11.0;10.0
0;101;206.11226260757456;207.11226260757456;202;8;1.0;1.0
8;207;207.0;235.0;382;10;29.0;28.0
0;106;207.11226260757456;219.11226260757456;229;29;12.0;12.0
1;208;208.0;233.0;388;19;24.0;25.0
2;208;208.0;211.0;387;14;3.0;3.0
5;208;210.57754796008874;228.57754796008874;389;9;18.0;18.0
2;210;211.0;235.0;390;4;24.0;24.0
16;207;212.0;237.0;384;3;26.0;25.0
6;213;213.0;218.0;392;1;7.0;5.0
3;213;214.0;218.0;394;13;5.0;4.0
17;213;215.52476115507665;216.52476115507665;395;18;2.0;1.0
18;216;216.0;223.0;407;13;3.0;7.0
14;216;216.345715519426;227.345715519426;406;4;10.0;11.0
17;216;216.52476115507665;218.52476115507665;408;3;1.0;2.0
13;216;217.0;234.0;402;24;16.0;17.0
10;216;217.0;237.0;403;18;17.0;20.0
6;218;218.0;232.0;415;3;12.0;14.0
3;218;218.0;243.0;411;7;23.0;25.0
17;218;218.52476115507665;237.52476115507665;409;9;21.0;19.0
0;219;219.11226260757456;222.11226260757456;416;28;6.0;3.0
11;218;221.52423088208064;243.52423088208064;410;7;21.0;22.0
9;215;222.0;245.0;400;8;22.0;23.0
0;220;222.11226260757456;223.11226260757456;420;14;1.0;1.0
18;220;223.0;241.0;421;10;18.0;18.0
0;220;223.11226260757456;239.11226260757456;422;2;16.0;16.0
15;218;223.55775295991396;226.55775295991396;414;26;2.0;3.0
12;219;223.58038734555066;235.58038734555066;417;8;11.0;12.0
15;226;226.55775295991396;237.55775295991396;428;14;11.0;11.0
14;227;227.345715519426;238.345715519426;430;1;13.0;11.0
5;227;228.57754796008874;235.57754796008874;431;0;5.0;7.0
19;227;229.0;253.0;429;4;25.0;24.0
7;226;229.39182879306145;240.39182879306145;425;19;12.0;11.0
6;231;232.0;237.0;441;10;8.0;5.0
1;231;233.0;248.0;436;1;15.0;15.0
13;234;234.0;257.0;446;15;22.0;23.0
4;226;234.0;256.0;426;25;22.0;22.0
8;231;235.0;264.0;432;8;27.0;29.0
2;231;235.0;245.0;435;20;10.0;10.0
5;231;235.57754796008874;253.57754796008874;445;5;20.0;18.0
12;234;235.58038734555066;260.58038734555066;448;7;25.0;25.0
16;234;237.0;259.0;450;29;22.0;22.0
6;234;237.0;262.0;451;15;23.0;25.0
10;234;237.0;248.0;452;3;12.0;11.0
17;236;237.52476115507665;240.52476115507665;453;12;3.0;3.0
15;231;237.55775295991396;238.55775295991396;443;17;3.0;1.0
14;231;238.345715519426;250.345715519426;439;6;12.0;12.0
15;231;238.55775295991396;248.55775295991396;440;5;9.0;10.0
0;239;239.11226260757456;259.11226260757456;454;3;20.0;20.0
7;240;240.39182879306145;267.39182879306145;455;24;29.0;27.0
17;213;240.52476115507665;248.52476115507665;393;2;8.0;8.0
18;240;241.0;245.0;457;24;2.0;4.0
3;243;243.0;253.0;459;15;10.0;10.0
11;243;243.52423088208064;269.52423088208064;460;26;26.0;26.0
18;245;245.0;270.0;466;21;25.0;25.0
9;245;245.0;266.0;465;0;22.0;21.0
2;245;245.0;259.0;467;22;14.0;14.0
1;248;248.0;259.0;473;3;13.0;11.0
10;245;248.0;268.0;469;8;19.0;20.0
17;246;248.52476115507665;267.52476115507665;470;28;19.0;19.0
15;246;248.55775295991396;262.55775295991396;471;27;13.0;14.0
14;250;250.345715519426;263.345715519426;480;3;15.0;13.0
19;250;253.0;267.0;482;5;14.0;14.0
3;245;253.0;264.0;468;29;9.0;11.0
5;248;253.57754796008874;270.57754796008874;474;9;18.0;17.0
4;256;256.0;272.0;487;16;15.0;16.0
13;256;257.0;272.0;488;2;14.0;15.0
16;258;259.0;279.0;495;13;19.0;20.0
1;256;259.0;273.0;489;1;15.0;14.0
2;257;259.0;284.0;491;2;26.0;25.0
0;257;259.11226260757456;261.11226260757456;492;24;1.0;2.0
12;258;260.58038734555066;271.58038734555066;494;3;10.0;11.0
0;258;261.11226260757456;267.11226260757456;497;0;5.0;6.0
6;259;262.0;271.0;498;0;10.0;9.0
15;259;262.55775295991396;263.55775295991396;500;6;1.0;1.0
14;263;263.345715519426;277.345715519426;510;0;17.0;14.0
15;261;263.55775295991396;275.55775295991396;501;24;16.0;12.0
8;261;264.0;293.0;502;4;27.0;29.0
3;261;264.0;281.0;503;11;18.0;17.0
9;266;266.0;274.0;523;22;6.0;8.0
19;267;267.0;278.0;525;19;11.0;11.0
0;266;267.11226260757456;278.11226260757456;522;12;11.0;11.0
7;265;267.39182879306145;281.39182879306145;518;6;20.0;14.0
17;261;267.52476115507665;273.52476115507665;505;25;6.0;6.0
10;261;268.0;285.0;506;27;16.0;17.0
11;264;269.52423088208064;274.52423088208064;516;27;6.0;5.0
18;263;270.0;274.0;511;29;3.0;4.0
5;263;270.57754796008874;286.57754796008874;512;29;16.0;16.0
6;264;271.0;289.0;515;17;18.0;18.0
12;266;271.58038734555066;274.58038734555066;519;2;2.0;3.0
13;266;272.0;287.0;520;0;14.0;15.0
4;266;272.0;293.0;521;4;21.0;21.0
1;265;273.0;278.0;517;22;3.0;5.0
17;270;273.52476115507665;274.52476115507665;527;21;1.0;1.0
18;274;274.0;282.0;534;2;8.0;8.0
9;261;274.0;276.0;504;27;3.0;2.0
11;271;274.52423088208064;286.52423088208064;530;17;10.0;12.0
17;272;274.52476115507665;280.52476115507665;531;1;3.0;6.0
12;272;274.58038734555066;304.58038734555066;532;14;28.0;30.0
15;262;275.55775295991396;304.55775295991396;508;1;29.0;29.0
9;263;276.0;305.0;513;19;29.0;29.0
14;277;277.345715519426;296.345715519426;538;0;17.0;19.0
1;277;278.0;279.0;537;15;2.0;1.0
19;266;278.0;288.0;524;20;10.0;10.0
0;271;278.11226260757456;304.11226260757456;529;7;27.0;26.0
16;274;279.0;285.0;533;2;6.0;6.0
1;276;279.0;292.0;535;23;12.0;13.0
17;276;280.52476115507665;284.52476115507665;536;21;1.0;4.0
3;281;281.0;296.0;546;2;17.0;15.0
7;281;281.39182879306145;307.39182879306145;541;15;23.0;26.0
18;282;282.0;305.0;550;12;22.0;23.0
2;284;284.0;297.0;553;25;14.0;13.0
17;284;284.52476115507665;291.52476115507665;551;12;3.0;7.0
16;285;285.0;306.0;556;22;20.0;21.0
10;285;285.0;302.0;557;5;16.0;17.0
11;285;286.52423088208064;297.52423088208064;558;17;10.0;11.0
5;285;286.57754796008874;308.57754796008874;559;12;22.0;22.0
13;287;287.0;320.0;565;11;29.0;33.0
19;287;288.0;311.0;563;21;25.0;23.0
6;287;289.0;304.0;564;23;16.0;15.0
17;290;291.52476115507665;308.52476115507665;567;24;16.0;17.0
1;290;292.0;320.0;566;12;29.0;28.0
8;282;293.0;320.0;549;4;27.0;27.0
4;285;293.0;310.0;554;29;17.0;17.0
3;295;296.0;325.0;578;9;28.0;29.0
14;285;296.345715519426;308.345715519426;560;20;11.0;12.0
2;295;297.0;311.0;586;22;14.0;14.0
11;295;297.52423088208064;304.52423088208064;584;18;8.0;7.0
10;299;302.0;307.0;588;29;5.0;5.0
6;303;304.0;329.0;594;9;29.0;25.0
0;303;304.11226260757456;321.11226260757456;593;26;18.0;17.0
11;281;304.52423088208064;307.52423088208064;545;22;3.0;3.0
15;295;304.55775295991396;317.55775295991396;581;24;16.0;13.0
12;299;304.58038734555066;308.58038734555066;587;11;5.0;4.0
9;294;305.0;330.0;572;5;26.0;25.0
