server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;26.0;1;22;27.0;25.0
1;1;1.0;3.0;0;29;4.0;2.0
2;2;2.0;21.0;2;19;20.0;19.0
5;3;3.0;27.0;8;12;23.0;24.0
6;3;3.0;11.0;7;25;8.0;8.0
8;3;3.0;8.0;9;18;7.0;5.0
9;3;3.0;12.0;5;22;11.0;9.0
10;3;3.0;8.0;6;7;6.0;5.0
11;3;3.0;24.0;4;23;20.0;21.0
12;3;3.0;29.0;3;26;26.0;26.0
13;5;5.0;20.0;12;16;14.0;15.0
14;5;5.0;13.0;10;16;6.0;8.0
15;5;5.0;21.0;11;25;17.0;16.0
18;6;6.0;24.0;14;27;16.0;18.0
19;6;6.0;27.0;16;15;22.0;21.0
17;6;6.0;30.0;13;17;24.0;24.0
1;6;6.0;7.0;15;17;1.0;1.0
1;7;7.0;14.0;24;0;8.0;7.0
8;8;8.0;19.0;25;22;9.0;11.0
10;8;8.0;19.0;26;22;11.0;11.0
6;7;11.0;17.0;19;21;6.0;6.0
9;7;12.0;15.0;17;16;1.0;3.0
14;13;13.0;34.0;35;0;20.0;21.0
7;7;13.429546249919278;17.429546249919277;21;7;5.0;3.9999999999999982
1;14;14.0;41.0;37;27;26.0;27.0
9;15;15.0;42.0;44;19;27.0;27.0
3;14;15.640825187274036;29.640825187274036;38;11;15.0;14.0
6;7;17.0;39.0;20;24;22.0;22.0
7;14;17.429546249919277;27.429546249919277;40;13;11.0;10.0
8;15;19.0;38.0;41;27;18.0;19.0
10;18;19.0;38.0;47;15;20.0;19.0
4;15;19.086136602454435;42.08613660245443;42;16;24.0;22.999999999999996
13;15;20.0;39.0;43;2;20.0;19.0
16;17;20.123459947323763;34.12345994732377;45;14;14.0;14.000000000000004
15;21;21.0;41.0;53;4;22.0;20.0
2;21;21.0;25.0;51;3;4.0;4.0
18;18;24.0;25.0;46;29;2.0;1.0
11;21;24.0;45.0;52;22;19.0;21.0
18;25;25.0;43.0;59;15;14.0;18.0
2;22;25.0;45.0;54;19;20.0;20.0
0;26;26.0;44.0;65;3;18.0;18.0
19;24;27.0;44.0;57;25;20.0;17.0
5;14;27.0;35.0;39;1;9.0;8.0
7;25;27.429546249919277;58.42954624991928;60;25;28.0;31.0
12;26;29.0;41.0;61;23;13.0;12.0
3;26;29.640825187274036;34.64082518727403;63;8;4.0;4.9999999999999964
17;24;30.0;37.0;58;21;7.0;7.0
14;34;34.0;39.0;79;27;5.0;5.0
16;26;34.12345994732377;44.12345994732377;64;0;9.0;10.0
3;33;34.64082518727403;60.64082518727403;76;26;27.0;26.0
