server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;5.0;1;11;4.0;5.0
3;0;0.0;22.0;2;12;22.0;22.0
4;0;0.0;17.0;0;15;17.0;17.0
5;1;1.0;11.0;3;15;10.0;10.0
7;5;5.0;15.0;5;0;9.0;10.0
9;5;5.0;30.0;6;4;25.0;25.0
10;5;5.0;21.0;4;29;16.0;16.0
17;6;6.0;21.0;7;0;16.0;15.0
18;7;7.0;22.0;8;24;14.0;15.0
11;8;8.0;18.0;11;3;10.0;10.0
0;8;8.0;24.0;9;28;19.0;16.0
6;8;9.554391874069399;28.5543918740694;13;24;18.0;19.0
15;8;9.937783242154815;11.937783242154815;12;4;1.0;2.0
5;11;11.0;18.0;18;21;12.0;7.0
15;8;11.937783242154815;15.937783242154815;10;26;2.0;4.0
13;11;13.796949524848655;15.796949524848655;17;29;2.0;2.0
12;12;14.002480168169383;24.002480168169384;19;14;11.0;10.000000000000002
16;12;14.545962011487395;27.545962011487397;20;9;13.0;13.000000000000002
7;15;15.0;27.0;31;15;16.0;12.0
8;13;15.275002649281433;30.275002649281433;24;29;15.0;15.0
1;15;15.780652930434623;44.78065293043463;27;3;24.0;29.000000000000004
13;15;15.796949524848655;22.796949524848657;29;4;8.0;7.000000000000002
15;10;15.937783242154815;27.937783242154815;16;25;12.0;12.0
4;17;17.0;30.0;34;2;10.0;13.0
14;12;17.705429378667322;18.705429378667322;21;1;2.0;1.0
2;13;17.83814570273791;18.83814570273791;23;22;2.0;1.0
11;13;18.0;22.0;25;26;2.0;4.0
5;10;18.0;26.0;15;1;9.0;8.0
14;15;18.705429378667322;32.70542937866732;30;11;13.0;13.999999999999996
2;17;18.83814570273791;48.83814570273791;33;5;27.0;30.0
17;19;21.0;24.0;38;13;2.0;3.0
10;21;21.0;42.0;39;7;19.0;21.0
19;13;21.71411275619664;27.71411275619664;22;9;6.0;6.0
11;19;22.0;30.0;36;29;4.0;8.0
18;22;22.0;27.0;41;29;5.0;5.0
3;15;22.0;37.0;28;26;14.0;15.0
13;9;22.796949524848657;37.79694952484866;14;26;15.0;15.0
17;18;24.0;52.0;35;28;25.0;28.0
0;13;24.0;35.0;26;15;14.0;11.0
12;23;24.002480168169384;40.002480168169384;42;20;15.0;16.0
5;26;26.0;32.0;45;29;11.0;6.0
18;26;27.0;44.0;44;5;15.0;17.0
7;19;27.0;28.0;37;10;1.0;1.0
16;26;27.545962011487397;40.5459620114874;43;12;14.0;13.0
19;29;29.0;38.0;46;18;8.0;9.0
6;29;29.0;30.0;47;4;1.0;1.0
8;31;31.0;49.0;49;7;20.0;18.0
6;31;31.0;57.0;48;28;27.0;26.0
11;31;31.0;34.0;50;11;3.0;3.0
14;33;33.0;35.0;51;15;4.0;2.0
7;33;33.0;43.0;52;4;10.0;10.0
9;34;34.0;49.0;55;14;14.0;15.0
11;34;34.0;55.0;53;10;22.0;21.0
4;34;34.0;51.0;56;22;18.0;17.0
14;35;35.0;52.0;57;9;14.0;17.0
5;35;35.0;63.0;58;20;29.0;28.0
19;39;39.0;58.0;61;10;19.0;19.0
13;39;39.0;56.0;62;3;16.0;17.0
0;39;39.0;42.0;66;16;2.0;3.0
3;39;39.0;62.0;65;12;22.0;23.0
12;39;40.002480168169384;67.00248016816938;64;23;29.0;27.0
16;39;40.5459620114874;53.5459620114874;63;9;13.0;13.0
0;41;42.0;65.0;71;13;23.0;23.0
10;40;42.0;59.0;67;29;16.0;17.0
7;40;43.0;51.0;70;4;10.0;8.0
18;44;44.0;50.0;73;3;7.0;6.0
1;40;44.78065293043463;54.78065293043463;69;17;11.0;10.0
2;46;48.83814570273791;58.83814570273791;74;7;11.0;10.0
8;44;49.0;79.0;72;25;28.0;30.0
9;47;49.0;53.0;76;15;4.0;4.0
18;47;50.0;74.0;80;13;26.0;24.0
7;39;51.0;74.0;60;25;26.0;23.0
4;49;51.0;56.0;81;12;6.0;5.0
14;47;52.0;72.0;77;12;19.0;20.0
17;47;52.0;68.0;78;24;17.0;16.0
9;52;53.0;59.0;85;27;7.0;6.0
16;47;53.5459620114874;56.5459620114874;79;18;1.0;3.0
1;46;54.78065293043463;56.78065293043463;75;15;3.0;2.0
11;52;55.0;78.0;84;10;22.0;23.0
13;54;56.0;68.0;86;2;13.0;12.0
4;56;56.0;75.0;92;15;17.0;19.0
16;56;56.5459620114874;78.5459620114874;90;13;22.0;22.000000000000007
1;56;56.78065293043463;79.78065293043463;93;26;21.0;23.0
6;56;57.0;80.0;95;25;22.0;23.0
19;56;58.0;68.0;96;22;13.0;10.0
2;55;58.83814570273791;70.8381457027379;88;0;13.0;11.999999999999993
9;56;59.0;64.0;94;19;5.0;5.0
10;55;59.0;78.0;87;7;19.0;19.0
3;59;62.0;75.0;98;0;13.0;13.0
5;59;63.0;69.0;97;26;5.0;6.0
9;63;64.0;86.0;110;18;22.0;22.0
0;63;65.0;66.0;111;8;1.0;1.0
0;62;66.0;77.0;108;15;14.0;11.0
12;52;67.00248016816938;82.00248016816938;83;11;16.0;15.0
19;56;68.0;88.0;91;8;21.0;20.0
13;63;68.0;77.0;112;22;9.0;9.0
17;63;68.0;71.0;113;18;1.0;3.0
5;60;69.0;87.0;100;16;18.0;18.0
2;70;70.8381457027379;82.8381457027379;121;0;13.0;12.0
17;66;71.0;100.0;116;15;28.0;29.0
14;62;72.0;74.0;106;6;4.0;2.0
14;74;74.0;79.0;127;24;3.0;5.0
7;65;74.0;87.0;114;2;13.0;13.0
18;62;74.0;87.0;105;14;14.0;13.0
4;73;75.0;85.0;122;7;9.0;10.0
3;60;75.0;78.0;104;22;4.0;3.0
13;74;77.0;93.0;128;8;16.0;16.0
0;70;77.0;94.0;120;9;15.0;17.0
11;62;78.0;96.0;107;23;22.0;18.0
10;70;78.0;81.0;119;21;3.0;3.0
3;77;78.0;94.0;138;0;13.0;16.0
16;74;78.5459620114874;95.5459620114874;124;26;17.0;17.0
14;76;79.0;99.0;133;28;17.0;20.0
8;76;79.0;100.0;131;14;21.0;21.0
1;63;79.78065293043463;106.78065293043463;109;3;24.0;27.0
6;66;80.0;95.0;117;22;14.0;15.0
10;80;81.0;89.0;140;28;8.0;8.0
12;82;82.00248016816938;94.00248016816938;148;13;13.0;12.0
4;80;85.0;92.0;144;16;8.0;7.0
9;77;86.0;87.0;137;26;1.0;1.0
7;86;87.0;102.0;160;2;13.0;15.0
9;74;87.0;89.0;125;15;4.0;2.0
18;84;87.0;109.0;155;12;22.0;22.0
5;73;87.0;89.0;123;25;3.0;2.0
19;84;88.0;89.0;154;14;1.0;1.0
19;77;89.0;117.0;136;16;28.0;28.0
9;82;89.0;106.0;147;21;18.0;17.0
10;76;89.0;113.0;134;12;24.0;24.0
5;60;89.0;117.0;103;20;29.0;28.0
4;92;92.0;100.0;166;23;6.0;8.0
13;82;93.0;97.0;153;7;1.0;4.0
0;87;94.0;110.0;161;3;21.0;16.0
3;82;94.0;101.0;150;16;8.0;7.0
12;91;94.00248016816938;111.00248016816938;165;24;18.0;17.0
6;94;95.0;113.0;177;24;18.0;18.0
16;93;95.5459620114874;96.5459620114874;173;5;2.0;1.0
11;82;96.0;97.0;149;15;1.0;1.0
16;95;96.5459620114874;107.5459620114874;179;23;11.0;11.0
13;80;97.0;126.0;141;11;26.0;29.0
11;80;97.0;116.0;146;21;16.0;19.0
8;65;100.0;111.0;115;19;9.0;11.0
17;95;100.0;124.0;178;28;25.0;24.0
4;92;100.0;124.0;169;27;23.0;24.0
2;92;100.24628373866872;111.24628373866872;168;7;11.0;11.0
3;100;101.0;113.0;184;0;13.0;12.0
7;96;102.0;115.0;182;26;11.0;13.0
9;101;106.0;114.0;197;27;7.0;8.0
1;105;106.78065293043463;119.78065293043463;205;5;13.0;13.0
15;94;108.68728487828082;122.68728487828082;175;10;14.0;14.0
0;80;110.0;133.0;145;27;23.0;23.0
8;100;111.0;117.0;189;13;6.0;6.0
12;86;111.00248016816938;140.00248016816937;157;23;29.0;28.999999999999986
2;82;111.24628373866872;124.24628373866872;152;15;14.0;13.0
6;76;113.0;121.0;135;26;7.0;8.0
10;101;113.0;124.0;198;5;13.0;11.0
3;100;113.0;134.0;185;12;22.0;21.0
9;80;114.0;124.0;143;5;10.0;10.0
7;108;115.0;132.0;209;16;16.0;17.0
11;70;116.0;143.0;118;2;26.0;27.0
8;117;117.0;146.0;217;26;22.0;29.0
5;115;117.0;130.0;214;13;10.0;13.0
16;108;118.14334819690963;139.14334819690964;210;21;20.0;21.000000000000014
1;115;119.78065293043463;144.78065293043463;213;3;24.0;25.0
6;101;121.0;143.0;196;25;22.0;22.0
18;115;122.4278231892925;128.4278231892925;215;28;4.0;6.0
15;105;122.68728487828082;124.68728487828082;206;4;1.0;2.0
9;87;124.0;135.0;162;5;10.0;11.0
17;95;124.0;131.0;181;26;4.0;7.0
10;94;124.0;152.0;176;24;27.0;28.0
4;92;124.0;133.0;167;14;10.0;9.0
2;122;124.24628373866872;134.24628373866872;221;17;12.0;10.0
15;120;124.68728487828082;133.68728487828082;219;19;10.0;9.0
13;100;126.0;135.0;186;9;10.0;9.0
18;123;128.4278231892925;140.4278231892925;225;4;14.0;12.0
5;130;130.0;134.0;253;26;5.0;4.0
17;125;131.0;152.0;236;25;22.0;21.0
7;105;132.0;161.0;204;20;29.0;29.0
0;130;133.0;140.0;254;5;7.0;7.0
4;125;133.0;145.0;232;14;10.0;12.0
15;89;133.68728487828082;141.68728487828082;164;19;10.0;8.0
5;123;134.0;139.0;226;18;5.0;5.0
3;125;134.0;143.0;237;18;9.0;9.0
2;134;134.24628373866872;144.24628373866872;259;23;10.0;10.0
13;129;135.0;144.0;250;6;11.0;9.0
9;123;135.0;154.0;229;25;19.0;19.0
5;128;139.0;160.0;239;3;26.0;21.0
16;135;139.14334819690964;154.14334819690964;262;26;17.0;15.0
0;92;140.0;143.0;170;7;8.0;3.0
18;125;140.4278231892925;168.4278231892925;235;16;28.0;28.0
15;129;141.68728487828082;159.68728487828082;251;17;20.0;18.0
6;92;143.0;175.0;171;16;29.0;32.0
11;103;143.0;171.0;201;1;29.0;28.0
0;100;143.0;163.0;192;28;19.0;20.0
3;74;143.0;165.0;130;2;20.0;22.0
13;117;144.0;145.0;218;17;1.0;1.0
2;140;144.24628373866872;157.24628373866872;282;15;14.0;13.0
1;138;144.78065293043463;160.78065293043463;279;0;17.0;16.0
13;123;145.0;175.0;224;1;29.0;30.0
4;136;145.0;152.0;271;12;6.0;7.0
8;128;146.0;168.0;238;26;22.0;22.0
17;136;152.0;169.0;268;24;17.0;17.0
10;136;152.0;182.0;265;0;29.0;30.0
4;136;152.0;153.0;269;13;1.0;1.0
4;153;153.0;171.0;310;22;18.0;18.0
9;138;154.0;162.0;274;16;6.0;8.0
16;149;154.14334819690964;169.14334819690964;298;22;16.0;15.0
12;148;156.32411580538593;179.32411580538593;297;12;22.0;23.0
2;150;157.24628373866872;163.24628373866872;302;18;6.0;6.0
15;129;159.68728487828082;160.68728487828082;242;27;1.0;1.0
5;150;160.0;170.0;303;15;10.0;10.0
15;149;160.68728487828082;174.68728487828082;299;9;14.0;14.0
1;147;160.78065293043463;167.78065293043463;293;18;6.0;7.0
7;136;161.0;178.0;272;16;16.0;17.0
9;138;162.0;186.0;278;28;23.0;24.0
0;112;163.0;187.0;211;13;23.0;24.0
2;153;163.24628373866872;186.24628373866872;315;20;23.0;23.0
3;135;165.0;179.0;263;19;15.0;14.0
1;153;167.78065293043463;169.78065293043463;314;18;6.0;2.0
8;151;168.0;188.0;305;26;22.0;20.0
18;147;168.4278231892925;183.4278231892925;290;8;14.0;15.0
17;129;169.0;184.0;248;6;16.0;15.0
16;151;169.14334819690964;197.14334819690964;306;3;28.0;28.0
1;129;169.78065293043463;188.78065293043463;249;0;17.0;19.0
5;148;170.0;184.0;296;19;16.0;14.0
19;156;170.80374498066038;171.80374498066038;318;14;1.0;1.0
11;136;171.0;195.0;270;16;25.0;24.0
4;153;171.0;173.0;316;18;2.0;2.0
19;146;171.80374498066038;188.80374498066038;288;26;16.0;17.0
4;150;173.0;191.0;304;15;17.0;18.0
15;60;174.68728487828082;178.68728487828082;101;7;2.0;4.0
13;133;175.0;184.0;255;22;9.0;9.0
6;103;175.0;176.0;202;27;2.0;1.0
6;134;176.0;183.0;260;12;6.0;7.0
14;125;176.63970577901043;193.63970577901043;231;28;17.0;17.0
15;145;178.68728487828082;181.68728487828082;285;7;2.0;3.0
3;179;179.0;204.0;346;27;24.0;25.0
12;165;179.32411580538593;206.32411580538593;331;23;29.0;27.0
15;165;181.68728487828082;184.68728487828082;328;28;3.0;3.0
10;103;182.0;205.0;203;19;23.0;23.0
7;113;182.0866665676585;195.0866665676585;212;3;14.0;13.0
6;138;183.0;206.0;276;28;27.0;23.0
18;136;183.4278231892925;205.4278231892925;267;18;21.0;22.0
13;171;184.0;198.0;335;23;15.0;14.0
17;165;184.0;200.0;330;24;17.0;16.0
5;145;184.0;210.0;286;3;26.0;26.0
15;182;184.68728487828082;193.68728487828082;350;20;7.0;9.0
9;174;186.0;208.0;339;7;19.0;22.0
2;177;186.24628373866872;204.24628373866872;341;11;20.0;18.0
0;148;187.0;207.0;295;14;20.0;20.0
8;136;188.0;197.0;266;19;9.0;9.0
1;156;188.78065293043463;200.78065293043463;321;28;10.0;12.0
19;179;188.80374498066038;207.80374498066038;345;2;20.0;19.0
4;100;191.0;204.0;188;19;14.0;13.0
14;189;193.63970577901043;219.63970577901043;359;20;25.0;26.0
15;153;193.68728487828082;214.68728487828082;309;15;21.0;21.0
11;129;195.0;198.0;247;11;3.0;3.0
7;138;195.0866665676585;207.0866665676585;275;28;11.0;12.0
8;191;197.0;201.0;363;24;4.0;4.0
16;195;197.14334819690964;199.14334819690964;367;5;2.0;2.0
13;174;198.0;214.0;338;8;16.0;16.0
11;190;198.0;217.0;361;24;22.0;19.0
16;184;199.14334819690964;200.14334819690964;353;7;1.0;1.0
17;174;200.0;216.0;340;4;14.0;16.0
16;194;200.14334819690964;225.14334819690964;365;25;24.0;25.0
1;100;200.78065293043463;212.78065293043463;195;2;12.0;12.0
8;123;201.0;216.0;230;2;12.0;15.0
4;196;204.0;208.0;372;9;4.0;4.0
3;151;204.0;210.0;308;16;8.0;6.0
2;195;204.24628373866872;218.24628373866872;368;15;14.0;14.0
10;169;205.0;216.0;332;5;13.0;11.0
18;184;205.4278231892925;224.4278231892925;354;0;18.0;19.0
6;194;206.0;207.0;364;13;1.0;1.0
12;205;206.32411580538593;207.32411580538593;393;2;1.0;1.0
6;135;207.0;237.0;264;7;28.0;30.0
0;140;207.0;230.0;281;29;23.0;23.0
7;179;207.0866665676585;225.0866665676585;347;17;20.0;18.0
12;205;207.32411580538593;236.32411580538593;391;18;28.0;29.0
19;169;207.80374498066038;220.80374498066038;334;1;13.0;13.0
9;179;208.0;217.0;348;8;8.0;9.0
4;204;208.0;226.0;385;15;17.0;18.0
5;178;210.0;230.0;343;22;21.0;20.0
3;142;210.0;234.0;284;11;27.0;24.0
1;202;212.78065293043463;237.78065293043463;381;3;24.0;25.0
15;208;214.68728487828082;221.68728487828082;395;16;6.0;7.0
8;158;216.0;238.0;322;14;21.0;22.0
17;165;216.0;218.0;329;18;1.0;2.0
10;204;216.0;244.0;388;27;27.0;28.0
9;215;217.0;227.0;402;5;10.0;10.0
11;204;217.0;236.0;389;25;20.0;19.0
17;195;218.0;237.0;369;3;20.0;19.0
2;189;218.24628373866872;246.24628373866872;358;5;27.0;28.0
14;219;219.63970577901043;235.63970577901043;411;5;16.0;16.0
19;196;220.80374498066038;239.80374498066038;371;8;21.0;19.0
15;196;221.68728487828082;242.68728487828082;370;15;21.0;21.0
18;202;224.4278231892925;229.4278231892925;380;29;5.0;5.0
7;219;225.0866665676585;243.0866665676585;410;17;20.0;18.0
16;156;225.14334819690964;253.14334819690964;320;1;29.0;28.0
4;212;226.0;247.0;398;17;21.0;21.0
9;204;227.0;233.0;387;13;5.0;6.0
18;222;229.4278231892925;236.4278231892925;416;20;6.0;7.0
0;187;230.0;260.0;355;10;29.0;30.0
5;204;230.0;240.0;384;13;10.0;10.0
9;215;233.0;243.0;404;5;10.0;10.0
3;219;234.0;263.0;409;14;25.0;29.0
14;235;235.63970577901043;256.63970577901046;431;14;20.0;21.00000000000003
11;235;236.0;251.0;432;21;16.0;15.0
12;174;236.32411580538593;251.32411580538593;337;24;18.0;15.0
18;223;236.4278231892925;265.4278231892925;421;7;29.0;29.0
6;195;237.0;238.0;366;13;1.0;1.0
13;232;237.57970748631723;255.57970748631723;427;24;18.0;18.0
1;197;237.78065293043463;253.78065293043463;375;16;15.0;16.0
8;226;238.0;267.0;425;1;29.0;29.0
6;221;238.0;240.0;413;4;1.0;2.0
19;237;239.80374498066038;249.80374498066038;435;17;10.0;10.0
6;219;240.0;247.0;408;6;8.0;7.0
5;218;240.0;243.0;406;8;1.0;3.0
15;204;242.68728487828082;252.68728487828082;382;25;12.0;10.0
9;200;243.0;266.0;378;28;23.0;23.0
5;205;243.0;260.0;392;11;18.0;17.0
7;221;243.0866665676585;261.08666656765854;415;13;16.0;18.00000000000003
10;226;244.0;256.0;424;5;13.0;12.0
2;214;246.24628373866872;259.2462837386687;401;0;13.0;12.999999999999972
6;182;247.0;278.0;351;16;29.0;31.0
4;208;247.0;270.0;394;27;23.0;23.0
19;237;249.80374498066038;261.8037449806604;433;17;10.0;12.0
11;239;251.0;274.0;438;23;22.0;23.0
12;174;251.32411580538593;276.32411580538593;336;26;23.0;25.0
15;215;252.68728487828082;258.6872848782808;405;18;11.0;6.0
16;250;253.14334819690964;277.14334819690964;451;25;24.0;24.0
1;148;253.78065293043463;272.7806529304346;294;6;19.0;18.99999999999997
13;233;255.57970748631723;273.57970748631726;430;24;18.0;18.00000000000003
10;253;256.0;257.0;459;2;1.0;1.0
14;250;256.63970577901046;257.63970577901046;456;29;3.0;1.0
10;248;257.0;273.0;448;10;16.0;16.0
14;156;257.63970577901046;281.63970577901046;319;17;23.0;24.0
