server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;1;1.0;6.0;4;22;2.0;5.0
3;1;1.0;21.0;0;9;20.0;20.0
5;1;1.0;10.0;2;9;9.0;9.0
8;1;1.0;25.0;5;7;23.0;24.0
9;1;1.0;12.0;3;3;10.0;11.0
10;2;2.0;8.0;7;11;7.0;6.0
11;2;2.0;10.0;8;12;9.0;8.0
14;2;2.0;10.0;6;6;7.0;8.0
15;4;4.0;7.0;9;13;3.0;3.0
16;4;4.0;7.0;10;4;5.0;3.0
17;5;5.0;29.0;13;8;24.0;24.0
18;5;5.0;31.0;12;0;24.0;26.0
19;5;5.0;9.0;14;6;5.0;4.0
2;5;6.0;24.0;11;4;17.0;18.0
16;7;7.0;8.0;15;25;1.0;1.0
15;7;7.0;22.0;16;2;15.0;15.0
16;10;10.0;32.0;18;15;24.0;22.0
19;10;10.0;19.0;17;2;14.0;9.0
13;12;12.0;39.0;19;27;25.0;27.0
10;12;12.0;21.0;21;18;9.0;9.0
11;12;12.0;29.0;20;0;17.0;17.0
14;13;13.0;17.0;27;22;3.0;4.0
5;13;13.0;41.0;22;1;27.0;28.0
9;13;13.0;40.0;25;16;29.0;27.0
12;13;13.267106081412384;20.267106081412386;23;26;7.0;7.000000000000002
0;13;15.109285284735419;45.10928528473542;24;25;29.0;30.0
6;13;15.264352027286316;28.264352027286314;26;13;13.0;12.999999999999998
14;16;17.0;29.0;33;20;10.0;12.0
4;16;17.16767450636724;36.16767450636724;32;3;19.0;19.0
1;16;17.92431340385349;45.92431340385349;28;15;29.0;28.0
19;16;19.0;27.0;29;15;6.0;8.0
12;20;20.267106081412386;39.267106081412386;37;15;17.0;19.0
10;16;21.0;31.0;34;0;11.0;10.0
3;20;21.0;37.0;35;27;16.0;16.0
15;16;22.0;35.0;30;25;19.0;13.0
7;16;22.328674656936574;32.32867465693657;31;8;12.0;9.999999999999996
2;20;24.0;35.0;36;21;11.0;11.0
8;23;25.0;37.0;43;25;12.0;12.0
19;27;27.0;41.0;52;7;14.0;14.0
6;26;28.264352027286314;43.264352027286314;50;2;13.0;15.0
17;27;29.0;32.0;53;4;2.0;3.0
14;26;29.0;47.0;46;2;18.0;18.0
11;26;29.0;35.0;44;26;4.0;6.0
10;29;31.0;59.0;57;26;27.0;28.0
18;23;31.0;52.0;40;22;20.0;21.0
16;26;32.0;35.0;49;8;1.0;3.0
17;27;32.0;54.0;54;21;22.0;22.0
7;26;32.32867465693657;43.32867465693657;48;11;10.0;11.0
16;26;35.0;57.0;45;11;22.0;22.0
11;26;35.0;53.0;51;19;18.0;18.0
15;23;35.0;39.0;42;13;3.0;4.0
2;33;35.0;57.0;63;10;23.0;22.0
4;34;36.16767450636724;45.16767450636724;67;8;9.0;9.0
8;36;37.0;47.0;73;27;9.0;10.0
3;35;37.0;59.0;72;11;20.0;22.0
13;29;39.0;63.0;55;16;22.0;24.0
12;38;39.267106081412386;51.267106081412386;88;22;11.0;12.0
9;40;40.0;63.0;96;15;23.0;23.0
19;37;41.0;42.0;81;12;2.0;1.0
5;37;41.0;54.0;79;8;12.0;13.0
19;40;42.0;43.0;102;18;3.0;1.0
19;37;43.0;71.0;84;3;27.0;28.0
6;40;43.264352027286314;56.264352027286314;97;13;13.0;13.0
7;32;43.32867465693657;52.32867465693657;62;9;5.0;9.0
0;38;45.10928528473542;50.10928528473542;90;4;6.0;5.0
4;37;45.16767450636724;58.16767450636724;85;26;13.0;13.0
1;40;45.92431340385349;72.92431340385349;98;13;26.0;27.0
14;36;47.0;73.0;77;0;27.0;26.0
8;35;47.0;48.0;69;28;1.0;1.0
8;29;48.0;54.0;59;13;5.0;6.0
15;46;48.609083644188146;60.609083644188146;113;8;11.0;12.0
0;45;50.10928528473542;72.10928528473542;105;6;24.0;22.0
12;36;51.267106081412386;70.26710608141238;74;16;18.0;18.999999999999993
